Price,Year,Power(HP),Mileage(KM),Description,Link,Fuel_type
9490000,2017,220,79000,VOLKSWAGEN PASSAT ALLTRACK 2.0 TSI BMT DSG 4Motion,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_alltrack/volkswagen_passat_alltrack_2.0_tsi_bmt_dsg_4motion-18528762#sid=79f20431-6032-496b-a252-b1313759d49e,Benzin
12888888,2020,190,38000,VOLKSWAGEN PASSAT VIII Variant 2.0 TSI Elegance DSG R Line - 38 ezer km,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_variant_2.0_tsi_elegance_dsg_r_line_-_38_ezer_km-18692206#sid=79f20431-6032-496b-a252-b1313759d49e,Benzin
1379000014190000,2019,190,68000,VOLKSWAGEN PASSAT Variant 2.0 TDI BMT SCR Highline DSG7,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_2.0_tdi_bmt_scr_highline_dsg7-18514929#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
2490000,2013,160,270200,VOLKSWAGEN PASSAT VII Variant 1.4 TSI Comfortline CNG DSG 7speed!!!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_1.4_tsi_comfortline_cng_dsg_7speed-18313760#sid=79f20431-6032-496b-a252-b1313759d49e,Benzin
2600000,2012,140,377500,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Comfortline 4Motion BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_comfortline_4motion_bmt_dsg-18703267#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
3050000,2012,140,296101,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Highline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_highline_bmt_dsg-18539443#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
3190000,2013,140,383254,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Trendline BMT,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_trendline_bmt-18553672#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
3200000,2012,170,447000,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Comfortline 4Motion BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_comfortline_4motion_bmt_dsg-18704676#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
3300000,2014,140,215000,VOLKSWAGEN PASSAT Variant 2.0 CR TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_2.0_cr_tdi_comfortline_bmt_dsg-17805646#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
3450000,2013,140,285000,VOLKSWAGEN PASSAT VII Variant 2.0 CR TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_2.0_cr_tdi_comfortline_bmt_dsg-18706826#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
